name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York, NY, United States",2019-07-22,31.3,23,27,35.2,23,28.7,21.6,73.43,39.26,,25,,0,0,35.3,17.2,182.5,1009,42,13.9,379.6,19.1,9,,2019-07-22T05:43:20,2019-07-22T20:21:10,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-23,23.8,19.6,21.9,23.8,19.6,21.9,18.8,83.45,12.24,,33.33,,0,0,29.5,17.5,143,1009.6,84.1,14.3,121.4,6.6,3,,2019-07-23T05:44:12,2019-07-23T20:20:21,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-24,28,20,23.8,28.1,20,23.8,16.4,66.13,0.44,,8.33,,0,0,37.1,14.1,30.5,1013.5,40.9,15.8,451.7,26,10,,2019-07-24T05:45:06,2019-07-24T20:19:30,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-25,29.3,21.9,25.1,28.3,21.9,25,14.7,54.08,0,,0,,0,0,29.5,12,150.5,1018.8,34,16,442.3,25.5,9,,2019-07-25T05:45:59,2019-07-25T20:18:37,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-26,29.7,21.4,25.8,29.3,21.4,25.7,15.4,54.18,0,,0,,0,0,,11.5,142,1023.6,19,16,441.3,25.4,9,,2019-07-26T05:46:53,2019-07-26T20:17:43,0.83,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-27,29,23.1,25.9,29.9,23.1,26.3,17.1,58.57,0,,0,,0,0,37.1,15.9,181.1,1023.5,22.1,16,403.3,23.2,9,,2019-07-27T05:47:48,2019-07-27T20:16:47,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-28,31.8,23.3,27.7,32.3,23.3,28.1,18,57.14,0,,0,,0,0,38.9,23.8,244.1,1018.7,17,16,439.3,25.3,9,,2019-07-28T05:48:43,2019-07-28T20:15:49,0.92,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-29,32.1,23,28.2,33.7,23,29.1,18.7,57.48,0.24,,8.33,,0,0,53.6,15.3,249,1015.4,26,16,391.6,22.6,9,,2019-07-29T05:49:39,2019-07-29T20:14:50,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-30,33.4,26.1,29.3,36.6,26.1,31.2,20.3,59.12,0.18,,4.17,,0,0,36.1,19.7,197.3,1015,17.5,15.5,334,19.2,9,,2019-07-30T05:50:35,2019-07-30T20:13:49,0.99,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-31,30,21.9,25.7,32.2,21.9,26.4,19.8,70.93,11.1,,20.83,,0,0,61.2,17.3,189.5,1016.1,33.9,13.6,220.8,11.9,8,,2019-07-31T05:51:31,2019-07-31T20:12:46,1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
